bug_id,project,category,repo_url,buggy_commit,fixed_commit,metrics_file,sbfl_file,failing_tests,passing_tests,oracle,notes
chrono-round-zero,chrono,panic-error-handling,https://github.com/chronotope/chrono,ffc75e57054182603436b56e67c284d9fb7dec78,391187fff3be8ac345edb0fd859d36cb99c24316,results/chrono_round_zero_metrics.csv,results/chrono_round_zero_sbfl.csv,round::tests::test_duration_round; round::tests::test_duration_round_naive,round::tests::test_duration_round_close_to_min_max; round::tests::test_duration_round_close_to_epoch; round::tests::test_duration_round_pre_epoch,src/round.rs:191; src/round.rs:228,Zero/negative duration rounding panics. Manually reconstructed from upstream issue #658/PR #659.
rust-url-roundtrip-control-host,rust-url,standard-logic,https://github.com/servo/rust-url,22b925f93ad505a830f1089538a9ed6f5fd90612,bffaeb85c63dce6776518a5099949093037e8c16,results/rust_url_roundtrip_metrics.csv,results/rust_url_roundtrip_sbfl.csv,test_parse_url_with_single_byte_control_host,host; host_serialization; test_domain; test_domain_encoding_quirks; test_serialization,url/src/host.rs:160,Roundtrip bug for single-byte control host. Manually reconstructed from upstream PR #1079.
toml-float-overflow,toml,standard-logic,https://github.com/toml-rs/toml,e4d85784fc2b7761a4a31d38ba12ff666747d32a,234025daea09c2373441998f690e4a6e9f72d1a7,results/toml_float_overflow_metrics.csv,results/toml_float_overflow_sbfl.csv,parser::numbers::test::floats,parser::numbers::test::integers; parser::value::test::values; parser::test::documents; parser::test::invalid_documents; parser::datetime::test::local_date,crates/toml_edit/src/parser/numbers.rs:158,Overflowing float literal accepted as infinity. Manually reconstructed from upstream PR #445.
bytemuck-bytes-of-zst,bytemuck,panic-error-handling,https://github.com/Lokathor/bytemuck,b05354dc01dfbb05cd63aaa088646d2428c85c2f,e5d5061854e6c7a7bdecb8d82729e0406d22587c,results/bytemuck-bytes-of-zst_metrics.csv,results/bytemuck-bytes-of-zst_sbfl.csv,manual_bytes_of_zst,manual_bytes_of_nonempty_array; manual_bytes_of_scalar,src/lib.rs:115; src/lib.rs:127,bytes_of() panicked for zero-sized types. Reconstructed from upstream PR #53.
proc-macro2-cooked-byte-utf8,proc-macro2,macro-involved,https://github.com/dtolnay/proc-macro2,36931ed936cdd88848a2116a50bc9af8a033f71a,8c03033828a614775017f078a01f2c457957975b,results/proc-macro2-cooked-byte-utf8_metrics.csv,results/proc-macro2-cooked-byte-utf8_sbfl.csv,manual_cooked_byte_utf8_boundary,manual_cooked_byte_ascii; manual_cooked_byte_unicode_char,src/stable.rs:907,Lexer panicked on utf-8 char boundary in cooked_byte. Reconstructed from upstream issue #54.
rust-url-anarchist-roundtrip,rust-url,parser-panic,https://github.com/servo/rust-url,edeaea7f1e8bd08148bcd535f921fbc645bce53e,74b8694568d8eb936e339a7d726bda46881dcd9d,results/rust-url-anarchist-roundtrip_metrics.csv,results/rust-url-anarchist-roundtrip_sbfl.csv,manual_anarchist_url_roundtrip,manual_http_url_roundtrip; manual_no_leading_empty_segment,url/src/lib.rs:686; url/src/parser.rs:477; url/src/parser.rs:479; url/src/parser.rs:1357,Anarchist URL with // path caused round-trip panic. Reconstructed from upstream PR #817.
rust-url-file-set-path-panic,rust-url,parser-panic,https://github.com/servo/rust-url,edabc7979357e530feb558add94ba837eb613ab5,a08aa2cd10a67d9922ecd4fa96584cfc97820e87,results/rust-url-file-set-path-panic_metrics.csv,results/rust-url-file-set-path-panic_sbfl.csv,manual_file_set_path_windows_drive,manual_file_set_path_no_drive; manual_http_set_path,url/src/parser.rs:1206,set_path panicked for file URLs with Windows drive-like paths. Reconstructed from upstream PR #865.
nom-count-zero-sized,nom,parser-panic,https://github.com/rust-bakery/nom,6be62d30d74503bdbb4a5d3cd93e6b7771dd0fe7,ee7ad17086934c97be6d6fdb1de0ffad193fd1d5,results/nom-count-zero-sized_metrics.csv,results/nom-count-zero-sized_sbfl.csv,manual_count_zero_sized_output,manual_count_nonzero_output; manual_count_one,src/multi/mod.rs:582,count() panicked with zero-sized parser output. Reconstructed from upstream PR #1618.
brotli-fill-bit-window-panic,brotli-decompressor,panic-error-handling,https://github.com/dropbox/rust-brotli-decompressor,0045b6e18a91b12937ffc45a7a4f934ffeab7d2e,d82932e686d4a73c73b8aa3b96b01c8255e438ed,results/brotli-fill-bit-window-panic_metrics.csv,results/brotli-fill-bit-window-panic_sbfl.csv,manual_bit_window_overflow,manual_empty_input; manual_short_input,src/bit_reader/mod.rs:137; src/bit_reader/mod.rs:575,BrotliFillBitWindow panicked on specific bit-reader state. Reconstructed from upstream fix.
cargo-metadata-root-package-no-deps,cargo_metadata,panic-error-handling,https://github.com/oli-obk/cargo_metadata,12c913f796f8778692a519eea9ad4ba8a4a05a97,725f8d99b32ed45e547a4afc993de34663f512ad,results/cargo-metadata-root-package-no-deps_metrics.csv,results/cargo-metadata-root-package-no-deps_sbfl.csv,manual_root_package_no_deps,manual_root_package_with_deps; manual_workspace_packages,src/lib.rs:160,root_package() panicked when no_deps omitted the resolve graph. Reconstructed from upstream PR #203.
