rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/bit_reader/mod.rs,62,1,0,0,2,1.0,1.0,inf,fn default() -> Self {
2,src/bit_reader/mod.rs,63,1,0,0,2,1.0,1.0,inf,BrotliBitReaderState {
3,src/bit_reader/mod.rs,69,1,0,0,2,1.0,1.0,inf,}
4,src/bit_reader/mod.rs,100,1,0,0,2,1.0,1.0,inf,"pub fn BrotliCheckInputAmount(br: &BrotliBitReader, num: u32) -> bool {"
5,src/bit_reader/mod.rs,101,1,0,0,2,1.0,1.0,inf,br.avail_in >= num
6,src/bit_reader/mod.rs,102,1,0,0,2,1.0,1.0,inf,}
7,src/bit_reader/mod.rs,113,1,0,0,2,1.0,1.0,inf,"fn BrotliLoad32LE(input: &[u8], next_in_u32: u32) -> u32 {"
8,src/bit_reader/mod.rs,114,1,0,0,2,1.0,1.0,inf,let next_in: usize = next_in_u32 as usize;
9,src/bit_reader/mod.rs,115,1,0,0,2,1.0,1.0,inf,let mut four_byte: [u8; 4] = fast_uninitialized![4];
10,src/bit_reader/mod.rs,116,1,0,0,2,1.0,1.0,inf,four_byte.clone_from_slice(fast!((input)[next_in ; next_in + 4]));
11,src/bit_reader/mod.rs,117,1,0,0,2,1.0,1.0,inf,(four_byte[0] as u32) | ((four_byte[1] as u32) << 8) | ((four_byte[2] as u32) << 16) |
12,src/bit_reader/mod.rs,119,1,0,0,2,1.0,1.0,inf,}
13,src/bit_reader/mod.rs,122,1,0,0,2,1.0,1.0,inf,"fn BrotliLoad64LE(input: &[u8], next_in_u32: u32) -> u64 {"
14,src/bit_reader/mod.rs,123,1,0,0,2,1.0,1.0,inf,let next_in: usize = next_in_u32 as usize;
15,src/bit_reader/mod.rs,124,1,0,0,2,1.0,1.0,inf,let mut eight_byte: [u8; 8] = fast_uninitialized![8];
16,src/bit_reader/mod.rs,125,1,0,0,2,1.0,1.0,inf,eight_byte.clone_from_slice(fast!((input)[next_in ; next_in + 8]));
