rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/common.rs,13,1,0,0,2,1.0,1.0,inf,pub fn initial_length_size(self) -> u8 {
2,src/common.rs,14,1,0,0,2,1.0,1.0,inf,match self {
3,src/common.rs,15,1,0,0,2,1.0,1.0,inf,"Format::Dwarf32 => 4,"
4,src/common.rs,18,1,0,0,2,1.0,1.0,inf,}
5,src/endianity.rs,23,1,0,0,2,1.0,1.0,inf,"fn read_u16(self, buf: &[u8]) -> u16 {"
6,src/endianity.rs,24,1,0,0,2,1.0,1.0,inf,let bytes: &[u8; 2] = buf[..2].try_into().unwrap();
7,src/endianity.rs,25,1,0,0,2,1.0,1.0,inf,if self.is_big_endian() {
8,src/endianity.rs,28,1,0,0,2,1.0,1.0,inf,u16::from_le_bytes(*bytes)
9,src/endianity.rs,30,1,0,0,2,1.0,1.0,inf,}
10,src/endianity.rs,38,1,0,0,2,1.0,1.0,inf,"fn read_u32(self, buf: &[u8]) -> u32 {"
11,src/endianity.rs,39,1,0,0,2,1.0,1.0,inf,let bytes: &[u8; 4] = buf[..4].try_into().unwrap();
12,src/endianity.rs,40,1,0,0,2,1.0,1.0,inf,if self.is_big_endian() {
13,src/endianity.rs,43,1,0,0,2,1.0,1.0,inf,u32::from_le_bytes(*bytes)
14,src/endianity.rs,45,1,0,0,2,1.0,1.0,inf,}
15,src/endianity.rs,217,1,0,0,2,1.0,1.0,inf,fn is_big_endian(self) -> bool {
16,src/endianity.rs,218,1,0,0,2,1.0,1.0,inf,false
17,src/endianity.rs,219,1,0,0,2,1.0,1.0,inf,}
18,src/leb128.rs,52,1,0,0,2,1.0,1.0,inf,fn low_bits_of_byte(byte: u8) -> u8 {
19,src/leb128.rs,53,1,0,0,2,1.0,1.0,inf,byte & !CONTINUATION_BIT
20,src/leb128.rs,54,1,0,0,2,1.0,1.0,inf,}
21,src/leb128.rs,72,1,0,0,2,1.0,1.0,inf,pub fn unsigned<R: Reader>(r: &mut R) -> Result<u64> {
22,src/leb128.rs,73,1,0,0,2,1.0,1.0,inf,let mut result = 0;
23,src/leb128.rs,74,1,0,0,2,1.0,1.0,inf,let mut shift = 0;
24,src/leb128.rs,77,1,0,0,2,1.0,1.0,inf,let byte = r.read_u8()?;
25,src/leb128.rs,78,1,0,0,2,1.0,1.0,inf,if shift == 63 && byte != 0x00 && byte != 0x01 {
26,src/leb128.rs,80,1,0,0,2,1.0,1.0,inf,}
27,src/leb128.rs,82,1,0,0,2,1.0,1.0,inf,let low_bits = u64::from(low_bits_of_byte(byte));
28,src/leb128.rs,83,1,0,0,2,1.0,1.0,inf,result |= low_bits << shift;
29,src/leb128.rs,85,1,0,0,2,1.0,1.0,inf,if byte & CONTINUATION_BIT == 0 {
30,src/leb128.rs,86,1,0,0,2,1.0,1.0,inf,return Ok(result);
31,src/leb128.rs,91,1,0,0,2,1.0,1.0,inf,}
32,src/leb128.rs,95,1,0,0,2,1.0,1.0,inf,pub fn u16<R: Reader>(r: &mut R) -> Result<u16> {
33,src/leb128.rs,96,1,0,0,2,1.0,1.0,inf,let byte = r.read_u8()?;
34,src/leb128.rs,97,1,0,0,2,1.0,1.0,inf,let mut result = u16::from(low_bits_of_byte(byte));
35,src/leb128.rs,98,1,0,0,2,1.0,1.0,inf,if byte & CONTINUATION_BIT == 0 {
36,src/leb128.rs,99,1,0,0,2,1.0,1.0,inf,return Ok(result);
37,src/leb128.rs,114,1,0,0,2,1.0,1.0,inf,}
38,src/read/abbrev.rs,40,1,0,0,2,1.0,1.0,inf,"pub fn new(debug_abbrev_section: &'input [u8], endian: Endian) -> Self {"
39,src/read/abbrev.rs,41,1,0,0,2,1.0,1.0,inf,"Self::from(EndianSlice::new(debug_abbrev_section, endian))"
40,src/read/abbrev.rs,42,1,0,0,2,1.0,1.0,inf,}
41,src/read/abbrev.rs,50,1,0,0,2,1.0,1.0,inf,pub fn abbreviations(
42,src/read/abbrev.rs,54,1,0,0,2,1.0,1.0,inf,let input = &mut self.debug_abbrev_section.clone();
43,src/read/abbrev.rs,55,1,0,0,2,1.0,1.0,inf,input.skip(debug_abbrev_offset.0)?;
44,src/read/abbrev.rs,56,1,0,0,2,1.0,1.0,inf,Abbreviations::parse(input)
45,src/read/abbrev.rs,57,1,0,0,2,1.0,1.0,inf,}
46,src/read/abbrev.rs,95,1,0,0,2,1.0,1.0,inf,fn from(debug_abbrev_section: R) -> Self {
47,src/read/abbrev.rs,96,1,0,0,2,1.0,1.0,inf,DebugAbbrev {
48,src/read/abbrev.rs,99,1,0,0,2,1.0,1.0,inf,}
49,src/read/abbrev.rs,115,1,0,0,2,1.0,1.0,inf,fn empty() -> Abbreviations {
50,src/read/abbrev.rs,116,1,0,0,2,1.0,1.0,inf,Abbreviations {
51,src/read/abbrev.rs,120,1,0,0,2,1.0,1.0,inf,}
52,src/read/abbrev.rs,127,1,0,0,2,1.0,1.0,inf,"fn insert(&mut self, abbrev: Abbreviation) -> ::core::result::Result<(), ()> {"
53,src/read/abbrev.rs,128,1,0,0,2,1.0,1.0,inf,let code_usize = abbrev.code as usize;
54,src/read/abbrev.rs,129,1,0,0,2,1.0,1.0,inf,if code_usize as u64 == abbrev.code {
55,src/read/abbrev.rs,134,1,0,0,2,1.0,1.0,inf,if code_usize - 1 < self.vec.len() {
56,src/read/abbrev.rs,136,1,0,0,2,1.0,1.0,inf,} else if code_usize - 1 == self.vec.len() {
