rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/lib.rs,129,1,0,0,2,1.0,1.0,inf,}
2,src/lib.rs,130,1,0,0,2,1.0,1.0,inf,let mut j = 0;
3,src/lib.rs,131,1,0,0,2,1.0,1.0,inf,for i in 0..16 {
4,src/lib.rs,132,1,0,0,2,1.0,1.0,inf,input[i] = ((self.input[j + 3] as u32) << 24) |
5,src/lib.rs,138,1,0,0,2,1.0,1.0,inf,"transform(&mut self.buffer, &input);"
6,src/lib.rs,139,1,0,0,2,1.0,1.0,inf,k = 0;
7,src/lib.rs,194,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"fn write(&mut self, data: &[u8]) -> Result<usize> {"
8,src/lib.rs,195,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.consume(data);
9,src/lib.rs,196,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,Ok(data.len())
10,src/lib.rs,197,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
11,src/lib.rs,103,1,2,0,0,0.5,0.5773502691896258,0.5,pub fn new() -> Context {
12,src/lib.rs,104,1,2,0,0,0.5,0.5773502691896258,0.5,Context {
13,src/lib.rs,105,1,2,0,0,0.5,0.5773502691896258,0.5,"handled: [0, 0],"
14,src/lib.rs,109,1,2,0,0,0.5,0.5773502691896258,0.5,}
15,src/lib.rs,112,1,2,0,0,0.5,0.5773502691896258,0.5,"pub fn consume<T: AsRef<[u8]>>(&mut self, data: T) {"
16,src/lib.rs,113,1,2,0,0,0.5,0.5773502691896258,0.5,let mut input = [0u32; 16];
17,src/lib.rs,114,1,2,0,0,0.5,0.5773502691896258,0.5,let mut k = ((self.handled[0] >> 3) & 0x3F) as usize;
18,src/lib.rs,116,1,2,0,0,0.5,0.5773502691896258,0.5,let data = data.as_ref();
19,src/lib.rs,117,1,2,0,0,0.5,0.5773502691896258,0.5,let length = data.len() as u32;
20,src/lib.rs,118,1,2,0,0,0.5,0.5773502691896258,0.5,if (self.handled[0] + (length << 3)) < self.handled[0] {
21,src/lib.rs,120,1,2,0,0,0.5,0.5773502691896258,0.5,}
22,src/lib.rs,121,1,2,0,0,0.5,0.5773502691896258,0.5,self.handled[0] += length << 3;
23,src/lib.rs,122,1,2,0,0,0.5,0.5773502691896258,0.5,self.handled[1] += length >> 29;
24,src/lib.rs,124,1,2,0,0,0.5,0.5773502691896258,0.5,for &value in data {
25,src/lib.rs,125,1,2,0,0,0.5,0.5773502691896258,0.5,self.input[k] = value;
26,src/lib.rs,126,1,2,0,0,0.5,0.5773502691896258,0.5,k += 1;
27,src/lib.rs,127,1,2,0,0,0.5,0.5773502691896258,0.5,if k != 0x40 {
28,src/lib.rs,128,1,2,0,0,0.5,0.5773502691896258,0.5,continue;
29,src/lib.rs,141,1,2,0,0,0.5,0.5773502691896258,0.5,}
30,src/lib.rs,213,1,2,0,0,0.5,0.5773502691896258,0.5,"fn transform(buffer: &mut [u32; 4], input: &[u32; 16]) {"
31,src/lib.rs,214,1,2,0,0,0.5,0.5773502691896258,0.5,"let (mut a, mut b, mut c, mut d) = (buffer[0], buffer[1], buffer[2], buffer[3]);"
32,src/lib.rs,240,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[ 0], S1, 3614090360);"
33,src/lib.rs,241,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[ 1], S2, 3905402710);"
34,src/lib.rs,242,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[ 2], S3,  606105819);"
35,src/lib.rs,243,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[ 3], S4, 3250441966);"
36,src/lib.rs,244,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[ 4], S1, 4118548399);"
37,src/lib.rs,245,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[ 5], S2, 1200080426);"
38,src/lib.rs,246,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[ 6], S3, 2821735955);"
39,src/lib.rs,247,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[ 7], S4, 4249261313);"
40,src/lib.rs,248,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[ 8], S1, 1770035416);"
41,src/lib.rs,249,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[ 9], S2, 2336552879);"
42,src/lib.rs,250,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[10], S3, 4294925233);"
43,src/lib.rs,251,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[11], S4, 2304563134);"
44,src/lib.rs,252,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[12], S1, 1804603682);"
45,src/lib.rs,253,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[13], S2, 4254626195);"
46,src/lib.rs,254,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[14], S3, 2792965006);"
47,src/lib.rs,255,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[15], S4, 1236535329);"
48,src/lib.rs,275,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[ 1], S1, 4129170786);"
49,src/lib.rs,276,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[ 6], S2, 3225465664);"
50,src/lib.rs,277,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[11], S3,  643717713);"
51,src/lib.rs,278,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[ 0], S4, 3921069994);"
52,src/lib.rs,279,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[ 5], S1, 3593408605);"
53,src/lib.rs,280,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[10], S2,   38016083);"
54,src/lib.rs,281,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[15], S3, 3634488961);"
55,src/lib.rs,282,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[ 4], S4, 3889429448);"
56,src/lib.rs,283,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[ 9], S1,  568446438);"
57,src/lib.rs,284,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[14], S2, 3275163606);"
58,src/lib.rs,285,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[ 3], S3, 4107603335);"
59,src/lib.rs,286,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[ 8], S4, 1163531501);"
60,src/lib.rs,287,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[13], S1, 2850285829);"
61,src/lib.rs,288,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[ 2], S2, 4243563512);"
62,src/lib.rs,289,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[ 7], S3, 1735328473);"
63,src/lib.rs,290,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[12], S4, 2368359562);"
64,src/lib.rs,310,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[ 5], S1, 4294588738);"
65,src/lib.rs,311,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[ 8], S2, 2272392833);"
66,src/lib.rs,312,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[11], S3, 1839030562);"
67,src/lib.rs,313,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[14], S4, 4259657740);"
68,src/lib.rs,314,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[ 1], S1, 2763975236);"
69,src/lib.rs,315,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[ 4], S2, 1272893353);"
70,src/lib.rs,316,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[ 7], S3, 4139469664);"
71,src/lib.rs,317,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[10], S4, 3200236656);"
72,src/lib.rs,318,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[13], S1,  681279174);"
73,src/lib.rs,319,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[ 0], S2, 3936430074);"
74,src/lib.rs,320,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[ 3], S3, 3572445317);"
75,src/lib.rs,321,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[ 6], S4,   76029189);"
76,src/lib.rs,322,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[ 9], S1, 3654602809);"
77,src/lib.rs,323,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[12], S2, 3873151461);"
78,src/lib.rs,324,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[15], S3,  530742520);"
79,src/lib.rs,325,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[ 2], S4, 3299628645);"
80,src/lib.rs,345,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[ 0], S1, 4096336452);"
81,src/lib.rs,346,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[ 7], S2, 1126891415);"
82,src/lib.rs,347,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[14], S3, 2878612391);"
83,src/lib.rs,348,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[ 5], S4, 4237533241);"
84,src/lib.rs,349,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[12], S1, 1700485571);"
85,src/lib.rs,350,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[ 3], S2, 2399980690);"
86,src/lib.rs,351,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[10], S3, 4293915773);"
87,src/lib.rs,352,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[ 1], S4, 2240044497);"
88,src/lib.rs,353,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[ 8], S1, 1873313359);"
89,src/lib.rs,354,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[15], S2, 4264355552);"
90,src/lib.rs,355,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[ 6], S3, 2734768916);"
91,src/lib.rs,356,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[13], S4, 1309151649);"
92,src/lib.rs,357,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(a, b, c, d, input[ 4], S1, 4149444226);"
93,src/lib.rs,358,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(d, a, b, c, input[11], S2, 3174756917);"
94,src/lib.rs,359,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(c, d, a, b, input[ 2], S3,  718787259);"
95,src/lib.rs,360,1,2,0,0,0.5,0.5773502691896258,0.5,"T!(b, c, d, a, input[ 9], S4, 3951481745);"
96,src/lib.rs,363,1,2,0,0,0.5,0.5773502691896258,0.5,"buffer[0] = add!(buffer[0], a);"
97,src/lib.rs,364,1,2,0,0,0.5,0.5773502691896258,0.5,"buffer[1] = add!(buffer[1], b);"
