rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/combinator/mod.rs,73,1,0,0,2,1.0,1.0,inf,"pub fn map<I, O1, O2, E, F, G>(mut parser: F, mut f: G) -> impl FnMut(I) -> IResult<I, O2, E>"
2,src/combinator/mod.rs,82,1,0,0,2,1.0,1.0,inf,}
3,src/multi/mod.rs,586,1,0,0,2,1.0,1.0,inf,Err(Err::Error(e)) => {
4,src/multi/mod.rs,587,1,0,0,2,1.0,1.0,inf,"return Err(Err::Error(E::append(i, ErrorKind::Count, e)));"
5,src/bytes/complete.rs,32,1,2,0,0,0.5,0.5773502691896258,0.5,"pub fn tag<T, Input, Error: ParseError<Input>>("
6,src/bytes/complete.rs,51,1,2,0,0,0.5,0.5773502691896258,0.5,}
7,src/multi/mod.rs,568,1,2,0,0,0.5,0.5773502691896258,0.5,"pub fn count<I, O, E, F>(mut f: F, count: usize) -> impl FnMut(I) -> IResult<I, Vec<O>, E>"
8,src/multi/mod.rs,574,1,2,0,0,0.5,0.5773502691896258,0.5,move |i: I| {
9,src/multi/mod.rs,575,1,2,0,0,0.5,0.5773502691896258,0.5,let mut input = i.clone();
10,src/multi/mod.rs,576,1,2,0,0,0.5,0.5773502691896258,0.5,let max_initial_capacity = MAX_INITIAL_CAPACITY_BYTES / crate::lib::std::mem::size_of::<O>();
11,src/multi/mod.rs,577,1,2,0,0,0.5,0.5773502691896258,0.5,let mut res = crate::lib::std::vec::Vec::with_capacity(count.min(max_initial_capacity));
12,src/multi/mod.rs,579,1,2,0,0,0.5,0.5773502691896258,0.5,for _ in 0..count {
13,src/multi/mod.rs,582,1,2,0,0,0.5,0.5773502691896258,0.5,"Ok((i, o)) => {"
14,src/multi/mod.rs,583,1,2,0,0,0.5,0.5773502691896258,0.5,res.push(o);
15,src/multi/mod.rs,596,1,2,0,0,0.5,0.5773502691896258,0.5,}
16,src/multi/mod.rs,597,1,2,0,0,0.5,0.5773502691896258,0.5,}
17,src/bits/complete.rs,33,0,0,1,2,0.0,0.0,0.0,"pub fn take<I, O, C, E: ParseError<(I, usize)>>("
18,src/bits/complete.rs,41,0,0,1,2,0.0,0.0,0.0,let count = count.to_usize();
19,src/bits/complete.rs,42,0,0,1,2,0.0,0.0,0.0,"move |(input, bit_offset): (I, usize)| {"
20,src/bits/complete.rs,43,0,0,1,2,0.0,0.0,0.0,if count == 0 {
21,src/bits/complete.rs,44,0,0,1,2,0.0,0.0,0.0,"Ok(((input, bit_offset), 0u8.into()))"
22,src/bits/complete.rs,46,0,0,1,2,0.0,0.0,0.0,let cnt = (count + bit_offset).div(8);
23,src/bits/complete.rs,47,0,0,1,2,0.0,0.0,0.0,if input.input_len() * 8 < count + bit_offset {
24,src/bits/complete.rs,48,0,0,1,2,0.0,0.0,0.0,Err(Err::Error(E::from_error_kind(
25,src/bits/complete.rs,53,0,0,1,2,0.0,0.0,0.0,let mut acc: O = 0_u8.into();
26,src/bits/complete.rs,54,0,0,1,2,0.0,0.0,0.0,let mut offset: usize = bit_offset;
27,src/bits/complete.rs,55,0,0,1,2,0.0,0.0,0.0,let mut remaining: usize = count;
28,src/bits/complete.rs,56,0,0,1,2,0.0,0.0,0.0,let mut end_offset: usize = 0;
29,src/bits/complete.rs,58,0,0,1,2,0.0,0.0,0.0,for byte in input.iter_elements().take(cnt + 1) {
30,src/bits/complete.rs,59,0,0,1,2,0.0,0.0,0.0,if remaining == 0 {
31,src/bits/complete.rs,60,0,0,1,2,0.0,0.0,0.0,break;
32,src/bits/complete.rs,61,0,0,1,2,0.0,0.0,0.0,}
33,src/bits/complete.rs,62,0,0,1,2,0.0,0.0,0.0,let val: O = if offset == 0 {
34,src/bits/complete.rs,63,0,0,1,2,0.0,0.0,0.0,byte.into()
35,src/bits/complete.rs,65,0,0,1,2,0.0,0.0,0.0,((byte << offset) as u8 >> offset).into()
36,src/bits/complete.rs,68,0,0,1,2,0.0,0.0,0.0,if remaining < 8 - offset {
37,src/bits/complete.rs,69,0,0,1,2,0.0,0.0,0.0,acc += val >> (8 - offset - remaining);
38,src/bits/complete.rs,70,0,0,1,2,0.0,0.0,0.0,end_offset = remaining + offset;
39,src/bits/complete.rs,71,0,0,1,2,0.0,0.0,0.0,break;
40,src/bits/complete.rs,72,0,0,1,2,0.0,0.0,0.0,} else {
41,src/bits/complete.rs,73,0,0,1,2,0.0,0.0,0.0,acc += val << (remaining - (8 - offset));
42,src/bits/complete.rs,78,0,0,1,2,0.0,0.0,0.0,"Ok(((input.slice(cnt..), end_offset), acc))"
43,src/bits/complete.rs,81,0,0,1,2,0.0,0.0,0.0,}
44,src/bits/complete.rs,82,0,0,1,2,0.0,0.0,0.0,}
45,src/bits/complete.rs,85,0,0,1,2,0.0,0.0,0.0,"pub fn tag<I, O, C, E: ParseError<(I, usize)>>("
46,src/bits/complete.rs,94,0,0,1,2,0.0,0.0,0.0,let count = count.to_usize();
47,src/bits/complete.rs,95,0,0,1,2,0.0,0.0,0.0,"move |input: (I, usize)| {"
48,src/bits/complete.rs,96,0,0,1,2,0.0,0.0,0.0,let inp = input.clone();
49,src/bits/complete.rs,98,0,0,1,2,0.0,0.0,0.0,"take(count)(input).and_then(|(i, o)| {"
50,src/bits/complete.rs,99,0,0,1,2,0.0,0.0,0.0,if pattern == o {
51,src/bits/complete.rs,100,0,0,1,2,0.0,0.0,0.0,"Ok((i, o))"
52,src/bits/complete.rs,102,0,0,1,2,0.0,0.0,0.0,"Err(Err::Error(error_position!(inp, ErrorKind::TagBits)))"
53,src/bits/complete.rs,104,0,0,1,2,0.0,0.0,0.0,})
54,src/bits/complete.rs,105,0,0,1,2,0.0,0.0,0.0,}
55,src/bits/complete.rs,106,0,0,1,2,0.0,0.0,0.0,}
56,src/bits/complete.rs,123,0,0,1,2,0.0,0.0,0.0,"pub fn bool<I, E: ParseError<(I, usize)>>(input: (I, usize)) -> IResult<(I, usize), bool, E>"
57,src/bits/complete.rs,127,0,0,1,2,0.0,0.0,0.0,"let (res, bit): (_, u32) = take(1usize)(input)?;"
58,src/bits/complete.rs,128,0,0,1,2,0.0,0.0,0.0,"Ok((res, bit != 0))"
59,src/bits/complete.rs,129,0,0,1,2,0.0,0.0,0.0,}
60,src/bits/mod.rs,40,0,0,1,2,0.0,0.0,0.0,"pub fn bits<I, O, E1, E2, P>(mut parser: P) -> impl FnMut(I) -> IResult<I, O, E2>"
61,src/bits/mod.rs,47,0,0,1,2,0.0,0.0,0.0,"move |input: I| match parser.parse((input, 0)) {"
62,src/bits/mod.rs,48,0,0,1,2,0.0,0.0,0.0,"Ok(((rest, offset), result)) => {"
