rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/algorithms.rs,553,1,0,0,2,1.0,1.0,inf,panic!()
2,src/biguint.rs,1294,1,0,0,2,1.0,1.0,inf,return other.clone();
3,src/bigint.rs,773,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,fn zero() -> BigInt {
4,src/bigint.rs,774,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"BigInt::from_biguint(NoSign, Zero::zero())"
5,src/bigint.rs,775,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
6,src/bigint.rs,2402,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,BigInt::zero()
7,src/bigint.rs,2586,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,data.assign_from_slice(&[]);
8,src/biguint.rs,1931,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"pub fn assign_from_slice(&mut self, slice: &[u32]) {"
9,src/biguint.rs,1932,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"self.data.resize(slice.len(), 0);"
10,src/biguint.rs,1933,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.data.clone_from_slice(slice);
11,src/biguint.rs,1934,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.normalize();
12,src/biguint.rs,1935,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
13,src/algorithms.rs,551,1,2,0,0,0.5,0.5773502691896258,0.5,"pub fn div_rem_ref(u: &BigUint, d: &BigUint) -> (BigUint, BigUint) {"
14,src/algorithms.rs,552,1,2,0,0,0.5,0.5773502691896258,0.5,if d.is_zero() {
15,src/bigint.rs,2190,1,2,0,0,0.5,0.5773502691896258,0.5,"fn lcm(&self, other: &BigInt) -> BigInt {"
16,src/bigint.rs,2191,1,2,0,0,0.5,0.5773502691896258,0.5,"BigInt::from_biguint(Plus, self.data.lcm(&other.data))"
17,src/bigint.rs,2192,1,2,0,0,0.5,0.5773502691896258,0.5,}
18,src/bigint.rs,2315,1,2,0,0,0.5,0.5773502691896258,0.5,fn from_i64(n: i64) -> Option<BigInt> {
19,src/bigint.rs,2316,1,2,0,0,0.5,0.5773502691896258,0.5,Some(BigInt::from(n))
20,src/bigint.rs,2317,1,2,0,0,0.5,0.5773502691896258,0.5,}
21,src/bigint.rs,2348,1,2,0,0,0.5,0.5773502691896258,0.5,fn from(n: i64) -> Self {
22,src/bigint.rs,2349,1,2,0,0,0.5,0.5773502691896258,0.5,if n >= 0 {
23,src/bigint.rs,2350,1,2,0,0,0.5,0.5773502691896258,0.5,BigInt::from(n as u64)
24,src/bigint.rs,2358,1,2,0,0,0.5,0.5773502691896258,0.5,}
25,src/bigint.rs,2395,1,2,0,0,0.5,0.5773502691896258,0.5,fn from(n: u64) -> Self {
26,src/bigint.rs,2396,1,2,0,0,0.5,0.5773502691896258,0.5,if n > 0 {
27,src/bigint.rs,2404,1,2,0,0,0.5,0.5773502691896258,0.5,}
28,src/bigint.rs,2584,1,2,0,0,0.5,0.5773502691896258,0.5,"pub fn from_biguint(mut sign: Sign, mut data: BigUint) -> BigInt {"
29,src/bigint.rs,2585,1,2,0,0,0.5,0.5773502691896258,0.5,if sign == NoSign {
30,src/bigint.rs,2591,1,2,0,0,0.5,0.5773502691896258,0.5,BigInt {
31,src/bigint.rs,2595,1,2,0,0,0.5,0.5773502691896258,0.5,}
32,src/biguint.rs,438,1,2,0,0,0.5,0.5773502691896258,0.5,fn zero() -> BigUint {
33,src/biguint.rs,439,1,2,0,0,0.5,0.5773502691896258,0.5,BigUint::new(Vec::new())
34,src/biguint.rs,440,1,2,0,0,0.5,0.5773502691896258,0.5,}
35,src/biguint.rs,448,1,2,0,0,0.5,0.5773502691896258,0.5,fn is_zero(&self) -> bool {
36,src/biguint.rs,449,1,2,0,0,0.5,0.5773502691896258,0.5,self.data.is_empty()
37,src/biguint.rs,450,1,2,0,0,0.5,0.5773502691896258,0.5,}
38,src/biguint.rs,939,1,2,0,0,0.5,0.5773502691896258,0.5,"fn div(self, other: &BigUint) -> BigUint {"
39,src/biguint.rs,940,1,2,0,0,0.5,0.5773502691896258,0.5,"let (q, _) = self.div_rem(other);"
40,src/biguint.rs,941,1,2,0,0,0.5,0.5773502691896258,0.5,q
41,src/biguint.rs,942,1,2,0,0,0.5,0.5773502691896258,0.5,}
42,src/biguint.rs,1261,1,2,0,0,0.5,0.5773502691896258,0.5,"fn div_rem(&self, other: &BigUint) -> (BigUint, BigUint) {"
43,src/biguint.rs,1262,1,2,0,0,0.5,0.5773502691896258,0.5,"div_rem_ref(self, other)"
44,src/biguint.rs,1263,1,2,0,0,0.5,0.5773502691896258,0.5,}
45,src/biguint.rs,1286,1,2,0,0,0.5,0.5773502691896258,0.5,"fn gcd(&self, other: &Self) -> Self {"
46,src/biguint.rs,1293,1,2,0,0,0.5,0.5773502691896258,0.5,if self.is_zero() {
47,src/biguint.rs,1318,1,2,0,0,0.5,0.5773502691896258,0.5,}
48,src/biguint.rs,1322,1,2,0,0,0.5,0.5773502691896258,0.5,"fn lcm(&self, other: &BigUint) -> BigUint {"
49,src/biguint.rs,1323,1,2,0,0,0.5,0.5773502691896258,0.5,self / self.gcd(other) * other
50,src/biguint.rs,1324,1,2,0,0,0.5,0.5773502691896258,0.5,}
51,src/biguint.rs,1915,1,2,0,0,0.5,0.5773502691896258,0.5,pub fn new(digits: Vec<u32>) -> BigUint {
52,src/biguint.rs,1916,1,2,0,0,0.5,0.5773502691896258,0.5,BigUint { data: digits }.normalized()
53,src/biguint.rs,1917,1,2,0,0,0.5,0.5773502691896258,0.5,}
54,src/biguint.rs,2194,1,2,0,0,0.5,0.5773502691896258,0.5,fn normalize(&mut self) {
55,src/biguint.rs,2195,1,2,0,0,0.5,0.5773502691896258,0.5,while let Some(&0) = self.data.last() {
56,src/biguint.rs,2198,1,2,0,0,0.5,0.5773502691896258,0.5,}
57,src/biguint.rs,2202,1,2,0,0,0.5,0.5773502691896258,0.5,fn normalized(mut self) -> BigUint {
58,src/biguint.rs,2203,1,2,0,0,0.5,0.5773502691896258,0.5,self.normalize();
59,src/biguint.rs,2204,1,2,0,0,0.5,0.5773502691896258,0.5,self
60,src/biguint.rs,2205,1,2,0,0,0.5,0.5773502691896258,0.5,}
61,src/macros.rs,42,1,2,0,0,0.5,0.5773502691896258,0.5,"fn $method(self, other: $res) -> $res {"
62,src/macros.rs,44,1,2,0,0,0.5,0.5773502691896258,0.5,"$imp::$method(self, &other)"
63,src/macros.rs,45,1,2,0,0,0.5,0.5773502691896258,0.5,}
64,src/algorithms.rs,21,0,0,1,2,0.0,0.0,0.0,"fn adc(a: BigDigit, b: BigDigit, acc: &mut DoubleBigDigit) -> BigDigit {"
65,src/algorithms.rs,22,0,0,1,2,0.0,0.0,0.0,*acc += DoubleBigDigit::from(a);
66,src/algorithms.rs,23,0,0,1,2,0.0,0.0,0.0,*acc += DoubleBigDigit::from(b);
67,src/algorithms.rs,24,0,0,1,2,0.0,0.0,0.0,let lo = *acc as BigDigit;
68,src/algorithms.rs,25,0,0,1,2,0.0,0.0,0.0,*acc >>= big_digit::BITS;
69,src/algorithms.rs,26,0,0,1,2,0.0,0.0,0.0,lo
70,src/algorithms.rs,27,0,0,1,2,0.0,0.0,0.0,}
71,src/algorithms.rs,31,0,1,1,1,0.0,0.0,0.0,"fn sbb(a: BigDigit, b: BigDigit, acc: &mut SignedDoubleBigDigit) -> BigDigit {"
72,src/algorithms.rs,32,0,1,1,1,0.0,0.0,0.0,*acc += SignedDoubleBigDigit::from(a);
73,src/algorithms.rs,33,0,1,1,1,0.0,0.0,0.0,*acc -= SignedDoubleBigDigit::from(b);
74,src/algorithms.rs,34,0,1,1,1,0.0,0.0,0.0,let lo = *acc as BigDigit;
75,src/algorithms.rs,35,0,1,1,1,0.0,0.0,0.0,*acc >>= big_digit::BITS;
76,src/algorithms.rs,36,0,1,1,1,0.0,0.0,0.0,lo
77,src/algorithms.rs,37,0,1,1,1,0.0,0.0,0.0,}
78,src/algorithms.rs,40,0,1,1,1,0.0,0.0,0.0,"pub fn mac_with_carry(a: BigDigit, b: BigDigit, c: BigDigit, acc: &mut DoubleBigDigit) -> BigDigit {"
