bug_id,project,category,repo_url,buggy_commit,fixed_commit,failing_tests,passing_tests,oracle,notes,formula,found,best_rank,worst_tie_rank,average_tie_rank,tie_size,exam_best,exam_worst_tie,wasted_effort_best,top1,top3,top5,top10,ranked_lines,best_oracle_file,best_oracle_line,best_oracle_text,metrics_status
chrono-round-zero,chrono,panic-error-handling,https://github.com/chronotope/chrono,ffc75e57054182603436b56e67c284d9fb7dec78,391187fff3be8ac345edb0fd859d36cb99c24316,round::tests::test_duration_round; round::tests::test_duration_round_naive,round::tests::test_duration_round_close_to_min_max; round::tests::test_duration_round_close_to_epoch; round::tests::test_duration_round_pre_epoch,src/round.rs:191; src/round.rs:228,Zero/negative duration rounding panics. Manually reconstructed from upstream issue #658/PR #659.,ochiai,true,155,182,122.000000,121,0.037188,0.043666,154,false,false,false,false,4168,src/round.rs,191,if span < 0 {,ok
chrono-round-zero,chrono,panic-error-handling,https://github.com/chronotope/chrono,ffc75e57054182603436b56e67c284d9fb7dec78,391187fff3be8ac345edb0fd859d36cb99c24316,round::tests::test_duration_round; round::tests::test_duration_round_naive,round::tests::test_duration_round_close_to_min_max; round::tests::test_duration_round_close_to_epoch; round::tests::test_duration_round_pre_epoch,src/round.rs:191; src/round.rs:228,Zero/negative duration rounding panics. Manually reconstructed from upstream issue #658/PR #659.,dstar2,true,148,175,115.000000,121,0.035509,0.041987,147,false,false,false,false,4168,src/round.rs,191,if span < 0 {,ok
chrono-round-zero,chrono,panic-error-handling,https://github.com/chronotope/chrono,ffc75e57054182603436b56e67c284d9fb7dec78,391187fff3be8ac345edb0fd859d36cb99c24316,round::tests::test_duration_round; round::tests::test_duration_round_naive,round::tests::test_duration_round_close_to_min_max; round::tests::test_duration_round_close_to_epoch; round::tests::test_duration_round_pre_epoch,src/round.rs:191; src/round.rs:228,Zero/negative duration rounding panics. Manually reconstructed from upstream issue #658/PR #659.,tarantula,true,155,182,122.000000,121,0.037188,0.043666,154,false,false,false,false,4168,src/round.rs,191,if span < 0 {,ok
rust-url-roundtrip-control-host,rust-url,standard-logic,https://github.com/servo/rust-url,22b925f93ad505a830f1089538a9ed6f5fd90612,bffaeb85c63dce6776518a5099949093037e8c16,test_parse_url_with_single_byte_control_host,host; host_serialization; test_domain; test_domain_encoding_quirks; test_serialization,url/src/host.rs:160,Roundtrip bug for single-byte control host. Manually reconstructed from upstream PR #1079.,ochiai,true,10,104,52.500000,104,0.004088,0.042518,9,false,false,false,true,2446,url/src/host.rs,160,"Cow::Borrowed(_) => input,",ok
rust-url-roundtrip-control-host,rust-url,standard-logic,https://github.com/servo/rust-url,22b925f93ad505a830f1089538a9ed6f5fd90612,bffaeb85c63dce6776518a5099949093037e8c16,test_parse_url_with_single_byte_control_host,host; host_serialization; test_domain; test_domain_encoding_quirks; test_serialization,url/src/host.rs:160,Roundtrip bug for single-byte control host. Manually reconstructed from upstream PR #1079.,dstar2,true,10,104,52.500000,104,0.004088,0.042518,9,false,false,false,true,2446,url/src/host.rs,160,"Cow::Borrowed(_) => input,",ok
rust-url-roundtrip-control-host,rust-url,standard-logic,https://github.com/servo/rust-url,22b925f93ad505a830f1089538a9ed6f5fd90612,bffaeb85c63dce6776518a5099949093037e8c16,test_parse_url_with_single_byte_control_host,host; host_serialization; test_domain; test_domain_encoding_quirks; test_serialization,url/src/host.rs:160,Roundtrip bug for single-byte control host. Manually reconstructed from upstream PR #1079.,tarantula,true,10,104,52.500000,104,0.004088,0.042518,9,false,false,false,true,2446,url/src/host.rs,160,"Cow::Borrowed(_) => input,",ok
toml-float-overflow,toml,standard-logic,https://github.com/toml-rs/toml,e4d85784fc2b7761a4a31d38ba12ff666747d32a,234025daea09c2373441998f690e4a6e9f72d1a7,parser::numbers::test::floats,parser::numbers::test::integers; parser::value::test::values; parser::test::documents; parser::test::invalid_documents; parser::datetime::test::local_date,crates/toml_edit/src/parser/numbers.rs:158,Overflowing float literal accepted as infinity. Manually reconstructed from upstream PR #445.,ochiai,true,6,47,25.500000,44,0.001786,0.013992,5,false,false,false,true,3359,crates/toml_edit/src/parser/numbers.rs,158,"float_.map_res(|s| s.replace('_', """").parse()),",ok
toml-float-overflow,toml,standard-logic,https://github.com/toml-rs/toml,e4d85784fc2b7761a4a31d38ba12ff666747d32a,234025daea09c2373441998f690e4a6e9f72d1a7,parser::numbers::test::floats,parser::numbers::test::integers; parser::value::test::values; parser::test::documents; parser::test::invalid_documents; parser::datetime::test::local_date,crates/toml_edit/src/parser/numbers.rs:158,Overflowing float literal accepted as infinity. Manually reconstructed from upstream PR #445.,dstar2,true,6,47,25.500000,44,0.001786,0.013992,5,false,false,false,true,3359,crates/toml_edit/src/parser/numbers.rs,158,"float_.map_res(|s| s.replace('_', """").parse()),",ok
toml-float-overflow,toml,standard-logic,https://github.com/toml-rs/toml,e4d85784fc2b7761a4a31d38ba12ff666747d32a,234025daea09c2373441998f690e4a6e9f72d1a7,parser::numbers::test::floats,parser::numbers::test::integers; parser::value::test::values; parser::test::documents; parser::test::invalid_documents; parser::datetime::test::local_date,crates/toml_edit/src/parser/numbers.rs:158,Overflowing float literal accepted as infinity. Manually reconstructed from upstream PR #445.,tarantula,true,6,47,25.500000,44,0.001786,0.013992,5,false,false,false,true,3359,crates/toml_edit/src/parser/numbers.rs,158,"float_.map_res(|s| s.replace('_', """").parse()),",ok
bytemuck-bytes-of-zst,bytemuck,panic-error-handling,https://github.com/Lokathor/bytemuck,b05354dc01dfbb05cd63aaa088646d2428c85c2f,e5d5061854e6c7a7bdecb8d82729e0406d22587c,manual_bytes_of_zst,manual_bytes_of_nonempty_array; manual_bytes_of_scalar,src/lib.rs:115; src/lib.rs:127,bytes_of() panicked for zero-sized types. Reconstructed from upstream PR #53.,ochiai,true,8,13,10.000000,7,0.047904,0.077844,7,false,false,false,true,167,src/lib.rs,115,"match try_cast_slice::<T, u8>(core::slice::from_ref(t)) {",ok
