rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/stable.rs,887,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,fn cooked_byte(input: Cursor) -> PResult<()> {
2,src/stable.rs,888,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let mut bytes = input.bytes().enumerate();
3,src/stable.rs,889,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"let ok = match bytes.next().map(|(_, b)| b) {"
4,src/stable.rs,903,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"b => b.is_some(),"
5,src/stable.rs,905,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,if ok {
6,src/stable.rs,906,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,match bytes.next() {
7,src/stable.rs,907,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"Some((offset, _)) => Ok((input.advance(offset), ())),"
8,src/stable.rs,913,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
9,src/strnom.rs,51,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,pub fn bytes(&self) -> Bytes<'a> {
10,src/strnom.rs,52,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.rest.bytes()
11,src/strnom.rs,53,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
12,src/lib.rs,58,1,2,0,0,0.5,0.5773502691896258,0.5,"fn from_str(src: &str) -> Result<TokenStream, LexError> {"
13,src/lib.rs,59,1,2,0,0,0.5,0.5773502691896258,0.5,match src.parse() {
14,src/lib.rs,60,1,2,0,0,0.5,0.5773502691896258,0.5,"Ok(e) => Ok(TokenStream(e)),"
15,src/lib.rs,63,1,2,0,0,0.5,0.5773502691896258,0.5,}
16,src/stable.rs,53,1,2,0,0,0.5,0.5773502691896258,0.5,fn get_cursor(src: &str) -> Cursor {
17,src/stable.rs,54,1,2,0,0,0.5,0.5773502691896258,0.5,Cursor {
18,src/stable.rs,57,1,2,0,0,0.5,0.5773502691896258,0.5,}
19,src/stable.rs,62,1,2,0,0,0.5,0.5773502691896258,0.5,"fn from_str(src: &str) -> Result<TokenStream, LexError> {"
20,src/stable.rs,64,1,2,0,0,0.5,0.5773502691896258,0.5,let cursor = get_cursor(src);
21,src/stable.rs,66,1,2,0,0,0.5,0.5773502691896258,0.5,match token_stream(cursor) {
22,src/stable.rs,67,1,2,0,0,0.5,0.5773502691896258,0.5,"Ok((input, output)) => {"
