rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/parse.rs,113,1,0,0,2,1.0,1.0,inf,let ch = s.chars().next().unwrap();
2,src/parse.rs,114,1,0,0,2,1.0,1.0,inf,if is_whitespace(ch) {
3,src/parse.rs,117,1,0,0,2,1.0,1.0,inf,}
4,src/parse.rs,152,1,0,0,2,1.0,1.0,inf,fn is_whitespace(ch: char) -> bool {
5,src/parse.rs,154,1,0,0,2,1.0,1.0,inf,ch.is_whitespace() || ch == '\u{200e}' || ch == '\u{200f}'
6,src/parse.rs,155,1,0,0,2,1.0,1.0,inf,}
7,src/fallback.rs,370,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"Some((offset, _ch)) => &trunc_lo[..offset],"
8,src/fallback.rs,371,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"None => trunc_lo,"
9,src/parse.rs,108,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,s = s.advance(1);
10,src/parse.rs,109,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,continue;
11,src/parse.rs,327,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,end = i;
12,src/parse.rs,328,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,break;
13,src/parse.rs,839,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let digit = 10 + (b - b'a') as u64;
14,src/parse.rs,840,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,if digit >= base {
15,src/parse.rs,841,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,break;
16,src/parse.rs,844,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,b'A'..=b'F' => {
17,src/parse.rs,857,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"_ => break,"
18,src/detection.rs,7,1,2,0,0,0.5,0.5773502691896258,0.5,pub(crate) fn inside_proc_macro() -> bool {
19,src/detection.rs,8,1,2,0,0,0.5,0.5773502691896258,0.5,match WORKS.load(Ordering::Relaxed) {
20,src/detection.rs,9,1,2,0,0,0.5,0.5773502691896258,0.5,"1 => return false,"
21,src/detection.rs,11,1,2,0,0,0.5,0.5773502691896258,0.5,_ => {}
22,src/detection.rs,14,1,2,0,0,0.5,0.5773502691896258,0.5,INIT.call_once(initialize);
23,src/detection.rs,15,1,2,0,0,0.5,0.5773502691896258,0.5,inside_proc_macro()
24,src/detection.rs,16,1,2,0,0,0.5,0.5773502691896258,0.5,}
25,src/detection.rs,27,1,2,0,0,0.5,0.5773502691896258,0.5,fn initialize() {
26,src/detection.rs,28,1,2,0,0,0.5,0.5773502691896258,0.5,let available = proc_macro::is_available();
27,src/detection.rs,29,1,2,0,0,0.5,0.5773502691896258,0.5,"WORKS.store(available as usize + 1, Ordering::Relaxed);"
28,src/detection.rs,30,1,2,0,0,0.5,0.5773502691896258,0.5,}
29,src/fallback.rs,64,1,2,0,0,0.5,0.5773502691896258,0.5,fn take_inner(self) -> RcVecBuilder<TokenTree> {
30,src/fallback.rs,65,1,2,0,0,0.5,0.5773502691896258,0.5,let nodrop = ManuallyDrop::new(self);
31,src/fallback.rs,66,1,2,0,0,0.5,0.5773502691896258,0.5,unsafe { ptr::read(&nodrop.inner) }.make_owned()
32,src/fallback.rs,67,1,2,0,0,0.5,0.5773502691896258,0.5,}
33,src/fallback.rs,122,1,2,0,0,0.5,0.5773502691896258,0.5,pub fn new() -> Self {
34,src/fallback.rs,123,1,2,0,0,0.5,0.5773502691896258,0.5,TokenStreamBuilder {
35,src/fallback.rs,126,1,2,0,0,0.5,0.5773502691896258,0.5,}
36,src/fallback.rs,134,1,2,0,0,0.5,0.5773502691896258,0.5,"pub fn push_token_from_parser(&mut self, tt: TokenTree) {"
37,src/fallback.rs,135,1,2,0,0,0.5,0.5773502691896258,0.5,self.inner.push(tt);
38,src/fallback.rs,136,1,2,0,0,0.5,0.5773502691896258,0.5,}
39,src/fallback.rs,138,1,2,0,0,0.5,0.5773502691896258,0.5,pub fn build(self) -> TokenStream {
40,src/fallback.rs,139,1,2,0,0,0.5,0.5773502691896258,0.5,TokenStream {
41,src/fallback.rs,142,1,2,0,0,0.5,0.5773502691896258,0.5,}
