rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/distributions/uniform.rs,300,1,2,0,0,0.5,0.5773502691896258,0.5,fn borrow(&self) -> &Borrowed {
2,src/distributions/uniform.rs,301,1,2,0,0,0.5,0.5773502691896258,0.5,self
3,src/distributions/uniform.rs,302,1,2,0,0,0.5,0.5773502691896258,0.5,}
4,src/distributions/uniform.rs,666,1,2,0,0,0.5,0.5773502691896258,0.5,"fn new<B1, B2>(low_b: B1, high_b: B2) -> Self"
5,src/distributions/uniform.rs,671,1,2,0,0,0.5,0.5773502691896258,0.5,let low = *low_b.borrow();
6,src/distributions/uniform.rs,672,1,2,0,0,0.5,0.5773502691896258,0.5,let high = *high_b.borrow();
7,src/distributions/uniform.rs,673,1,2,0,0,0.5,0.5773502691896258,0.5,"assert!(low.all_lt(high), ""Uniform::new called with `low >= high`"");"
8,src/distributions/utils.rs,320,1,2,0,0,0.5,0.5773502691896258,0.5,"fn all_lt(self, other: Self) -> bool {"
9,src/distributions/utils.rs,321,1,2,0,0,0.5,0.5773502691896258,0.5,self < other
10,src/distributions/utils.rs,322,1,2,0,0,0.5,0.5773502691896258,0.5,}
11,src/distributions/weighted_index.rs,95,1,2,0,0,0.5,0.5773502691896258,0.5,"pub fn new<I>(weights: I) -> Result<WeightedIndex<X>, WeightedError>"
12,src/distributions/weighted_index.rs,101,1,2,0,0,0.5,0.5773502691896258,0.5,let mut iter = weights.into_iter();
13,src/distributions/weighted_index.rs,102,1,2,0,0,0.5,0.5773502691896258,0.5,let mut total_weight: X = iter.next().ok_or(WeightedError::NoItem)?.borrow().clone();
14,src/distributions/weighted_index.rs,104,1,2,0,0,0.5,0.5773502691896258,0.5,let zero = <X as Default>::default();
15,src/distributions/weighted_index.rs,105,1,2,0,0,0.5,0.5773502691896258,0.5,if total_weight < zero {
16,src/distributions/weighted_index.rs,107,1,2,0,0,0.5,0.5773502691896258,0.5,}
17,src/distributions/weighted_index.rs,109,1,2,0,0,0.5,0.5773502691896258,0.5,let mut weights = Vec::<X>::with_capacity(iter.size_hint().0);
18,src/distributions/weighted_index.rs,110,1,2,0,0,0.5,0.5773502691896258,0.5,for w in iter {
19,src/distributions/weighted_index.rs,111,1,2,0,0,0.5,0.5773502691896258,0.5,if *w.borrow() < zero {
20,src/distributions/weighted_index.rs,113,1,2,0,0,0.5,0.5773502691896258,0.5,}
21,src/distributions/weighted_index.rs,114,1,2,0,0,0.5,0.5773502691896258,0.5,weights.push(total_weight.clone());
22,src/distributions/weighted_index.rs,115,1,2,0,0,0.5,0.5773502691896258,0.5,total_weight += w.borrow();
23,src/distributions/weighted_index.rs,118,1,2,0,0,0.5,0.5773502691896258,0.5,if total_weight == zero {
24,src/distributions/weighted_index.rs,120,1,2,0,0,0.5,0.5773502691896258,0.5,}
25,src/distributions/weighted_index.rs,121,1,2,0,0,0.5,0.5773502691896258,0.5,"let distr = X::Sampler::new(zero, total_weight.clone());"
26,src/distributions/weighted_index.rs,123,1,2,0,0,0.5,0.5773502691896258,0.5,Ok(WeightedIndex {
27,src/distributions/weighted_index.rs,124,1,2,0,0,0.5,0.5773502691896258,0.5,"cumulative_weights: weights,"
