rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/exec.rs,442,1,0,0,2,1.0,1.0,inf,"fn next_after_empty(&self, text: &str, i: usize) -> usize {"
2,src/exec.rs,443,1,0,0,2,1.0,1.0,inf,"next_utf8(text.as_bytes(), i)"
3,src/exec.rs,444,1,0,0,2,1.0,1.0,inf,}
4,src/exec.rs,1434,1,0,0,2,1.0,1.0,inf,}
5,src/exec.rs,1435,1,0,0,2,1.0,1.0,inf,if ro.suffixes.complete() {
6,src/exec.rs,1436,1,0,0,2,1.0,1.0,inf,return if ro.nfa.is_anchored_end {
7,src/exec.rs,1442,1,0,0,2,1.0,1.0,inf,Some(MatchType::Literal(MatchLiteralType::Unanchored))
8,src/lib.rs,804,1,0,0,2,1.0,1.0,inf,fn manual_regex_literal_optimization() {
9,src/lib.rs,805,1,0,0,2,1.0,1.0,inf,let needles = vec![
10,src/lib.rs,806,1,0,0,2,1.0,1.0,inf,"""aA"", ""bA"", ""cA"", ""dA"", ""eA"", ""fA"", ""gA"", ""hA"", ""iA"", ""jA"", ""kA"", ""lA"","
11,src/lib.rs,807,1,0,0,2,1.0,1.0,inf,"""mA"", ""nA"", ""oA"", ""pA"", ""qA"", ""rA"", ""sA"", ""tA"", ""uA"", ""vA"", ""wA"", ""xA"","
12,src/lib.rs,808,1,0,0,2,1.0,1.0,inf,"""yA"", ""zA"","
13,src/lib.rs,810,1,0,0,2,1.0,1.0,inf,"let pattern = needles.join(""|"");"
14,src/lib.rs,811,1,0,0,2,1.0,1.0,inf,let re = Regex::new(&pattern).unwrap();
15,src/lib.rs,812,1,0,0,2,1.0,1.0,inf,"let hay = ""FUBAR"";"
16,src/lib.rs,813,1,0,0,2,1.0,1.0,inf,"assert_eq!(0, re.find_iter(hay).count());"
17,src/literal/imp.rs,81,1,0,0,2,1.0,1.0,inf,"Empty => Some((0, 0)),"
18,src/literal/imp.rs,149,1,0,0,2,1.0,1.0,inf,"Empty => 0,"
19,src/literal/imp.rs,152,1,0,0,2,1.0,1.0,inf,"AC { ref ac, .. } => ac.patterns_len(),"
20,src/literal/imp.rs,196,1,0,0,2,1.0,1.0,inf,return Matcher::Empty;
21,src/literal/imp.rs,214,1,0,0,2,1.0,1.0,inf,}
22,src/literal/imp.rs,215,1,0,0,2,1.0,1.0,inf,let ac = AhoCorasick::builder()
23,src/literal/imp.rs,218,1,0,0,2,1.0,1.0,inf,.build(&pats)
24,src/literal/imp.rs,219,1,0,0,2,1.0,1.0,inf,.unwrap();
25,src/literal/imp.rs,220,1,0,0,2,1.0,1.0,inf,"Matcher::AC { ac, lits: lits.to_owned() }"
26,src/literal/imp.rs,333,1,0,0,2,1.0,1.0,inf,}
27,src/re_trait.rs,201,1,0,0,2,1.0,1.0,inf,return None;
28,src/re_trait.rs,205,1,0,0,2,1.0,1.0,inf,"Some((s, e)) => (s, e),"
29,src/re_trait.rs,207,1,0,0,2,1.0,1.0,inf,if s == e {
30,src/re_trait.rs,211,1,0,0,2,1.0,1.0,inf,"self.last_end = self.re.next_after_empty(self.text, e);"
31,src/re_trait.rs,214,1,0,0,2,1.0,1.0,inf,if Some(e) == self.last_match {
32,src/re_trait.rs,216,1,0,0,2,1.0,1.0,inf,}
33,src/re_trait.rs,220,1,0,0,2,1.0,1.0,inf,self.last_match = Some(e);
34,src/re_trait.rs,221,1,0,0,2,1.0,1.0,inf,"Some((s, e))"
35,src/re_unicode.rs,75,1,0,0,2,1.0,1.0,inf,"fn new(haystack: &'t str, start: usize, end: usize) -> Match<'t> {"
36,src/re_unicode.rs,76,1,0,0,2,1.0,1.0,inf,"Match { text: haystack, start, end }"
37,src/re_unicode.rs,77,1,0,0,2,1.0,1.0,inf,}
38,src/utf8.rs,23,1,0,0,2,1.0,1.0,inf,"pub fn next_utf8(text: &[u8], i: usize) -> usize {"
39,src/utf8.rs,24,1,0,0,2,1.0,1.0,inf,let b = match text.get(i) {
40,src/utf8.rs,25,1,0,0,2,1.0,1.0,inf,"None => return i + 1,"
41,src/utf8.rs,26,1,0,0,2,1.0,1.0,inf,"Some(&b) => b,"
42,src/utf8.rs,28,1,0,0,2,1.0,1.0,inf,let inc = if b <= 0x7F {
43,src/utf8.rs,29,1,0,0,2,1.0,1.0,inf,1
44,src/utf8.rs,37,1,0,0,2,1.0,1.0,inf,i + inc
45,src/utf8.rs,38,1,0,0,2,1.0,1.0,inf,}
46,src/compile.rs,399,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"Alternation(ref es) => self.c_alternate(&**es),"
47,src/compile.rs,604,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"fn c_alternate(&mut self, exprs: &[Hir]) -> ResultOrEmpty {"
48,src/compile.rs,605,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,debug_assert!(
49,src/compile.rs,606,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"exprs.len() >= 2,"
50,src/compile.rs,611,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let first_split_entry = self.insts.len();
51,src/compile.rs,615,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let mut holes = vec![];
52,src/compile.rs,619,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"let mut prev_hole = (Hole::None, false);"
53,src/compile.rs,620,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,for e in &exprs[0..exprs.len() - 1] {
54,src/compile.rs,621,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,if prev_hole.1 {
55,src/compile.rs,624,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,} else {
56,src/compile.rs,625,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.fill_to_next(prev_hole.0);
57,src/compile.rs,627,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let split = self.push_split_hole();
58,src/compile.rs,628,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"if let Some(Patch { hole, entry }) = self.c(e)? {"
59,src/compile.rs,629,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,holes.push(hole);
60,src/compile.rs,630,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"prev_hole = (self.fill_split(split, Some(entry), None), false);"
61,src/compile.rs,637,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"if let Some(Patch { hole, entry }) = self.c(&exprs[exprs.len() - 1])? {"
62,src/compile.rs,638,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,holes.push(hole);
63,src/compile.rs,639,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,if prev_hole.1 {
64,src/compile.rs,641,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,} else {
65,src/compile.rs,642,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"self.fill(prev_hole.0, entry);"
66,src/compile.rs,650,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"Ok(Some(Patch { hole: Hole::Many(holes), entry: first_split_entry }))"
67,src/compile.rs,651,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
68,src/exec.rs,417,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"Some(lits) => lits,"
69,src/exec.rs,421,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,if lits.len() <= 32 {
70,src/exec.rs,422,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,return None;
71,src/exec.rs,457,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"fn find_at(&self, text: &str, start: usize) -> Option<(usize, usize)> {"
72,src/exec.rs,458,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"self.0.find_at(text.as_bytes(), start)"
73,src/exec.rs,459,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
