rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,percent_encoding/src/lib.rs,184,1,0,0,2,1.0,1.0,inf,pub fn percent_encode_byte(byte: u8) -> &'static str {
2,percent_encoding/src/lib.rs,204,1,0,0,2,1.0,1.0,inf,let index = usize::from(byte) * 3;
3,percent_encoding/src/lib.rs,207,1,0,0,2,1.0,1.0,inf,unsafe { str::from_utf8_unchecked(&ENC_TABLE[index..index + 3]) }
4,percent_encoding/src/lib.rs,208,1,0,0,2,1.0,1.0,inf,}
5,percent_encoding/src/lib.rs,264,1,0,0,2,1.0,1.0,inf,self.bytes = remaining;
6,percent_encoding/src/lib.rs,265,1,0,0,2,1.0,1.0,inf,Some(percent_encode_byte(first_byte))
7,url/src/host.rs,125,1,0,0,2,1.0,1.0,inf,"pub fn parse_opaque(input: &str) -> Result<Self, ParseError> {"
8,url/src/host.rs,126,1,0,0,2,1.0,1.0,inf,if input.starts_with('[') {
9,url/src/host.rs,131,1,0,0,2,1.0,1.0,inf,}
10,url/src/host.rs,133,1,0,0,2,1.0,1.0,inf,let is_invalid_host_char = |c| {
11,url/src/host.rs,134,1,0,0,2,1.0,1.0,inf,matches!(
12,url/src/host.rs,135,1,0,0,2,1.0,1.0,inf,"c,"
13,url/src/host.rs,153,1,0,0,2,1.0,1.0,inf,};
14,url/src/host.rs,155,1,0,0,2,1.0,1.0,inf,if input.find(is_invalid_host_char).is_some() {
15,url/src/host.rs,156,1,0,0,2,1.0,1.0,inf,Err(ParseError::InvalidDomainCharacter)
16,url/src/host.rs,162,1,0,0,2,1.0,1.0,inf,}
17,url/src/parser.rs,164,1,0,0,2,1.0,1.0,inf,"""file"" => SchemeType::File,"
18,url/src/parser.rs,165,1,0,0,2,1.0,1.0,inf,"_ => SchemeType::NotSpecial,"
19,url/src/parser.rs,242,1,0,0,2,1.0,1.0,inf,Some(remaining)
20,url/src/parser.rs,296,1,0,0,2,1.0,1.0,inf,"fn split_prefix(self, input: &mut Input) -> bool {"
