rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,url/src/parser.rs,166,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"""file"" => SchemeType::File,"
2,url/src/parser.rs,421,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"self.log_violation_if(ExpectedFileDoubleSlash, || !input.starts_with(""//""));"
3,url/src/parser.rs,422,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let base_file_url = self.base_url.and_then(|base| {
4,url/src/parser.rs,429,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.serialization.clear();
5,url/src/parser.rs,430,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"self.parse_file(input, scheme_type, base_file_url)"
6,url/src/parser.rs,496,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,fn parse_file(
7,url/src/parser.rs,504,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,debug_assert!(self.serialization.is_empty());
8,url/src/parser.rs,505,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"let (first_char, input_after_first_char) = input.split_first();"
9,url/src/parser.rs,506,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"if matches!(first_char, Some('/') | Some('\\')) {"
10,url/src/parser.rs,507,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"self.log_violation_if(SyntaxViolation::Backslash, || first_char == Some('\\'));"
11,url/src/parser.rs,509,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"let (next_char, input_after_next_char) = input_after_first_char.split_first();"
12,url/src/parser.rs,510,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"if matches!(next_char, Some('/') | Some('\\')) {"
13,url/src/parser.rs,511,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"self.log_violation_if(Backslash, || next_char == Some('\\'));"
14,url/src/parser.rs,513,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"self.serialization.push_str(""file://"");"
15,url/src/parser.rs,514,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"let scheme_end = ""file"".len() as u32;"
16,url/src/parser.rs,515,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"let host_start = ""file://"".len() as u32;"
17,url/src/parser.rs,516,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"let (path_start, mut host, remaining) ="
18,url/src/parser.rs,517,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.parse_file_host(input_after_next_char)?;
19,url/src/parser.rs,518,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let mut host_end = to_u32(self.serialization.len())?;
20,url/src/parser.rs,519,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"let mut has_host = !matches!(host, HostInternal::None);"
21,url/src/parser.rs,520,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let remaining = if path_start {
22,url/src/parser.rs,523,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let path_start = self.serialization.len();
23,url/src/parser.rs,524,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.serialization.push('/');
24,url/src/parser.rs,525,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"self.parse_path(SchemeType::File, &mut has_host, path_start, remaining)"
25,url/src/parser.rs,530,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,if !has_host {
26,url/src/parser.rs,531,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.serialization
27,url/src/parser.rs,532,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,.drain(host_start as usize..host_end as usize);
28,url/src/parser.rs,536,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"let (query_start, fragment_start) ="
29,url/src/parser.rs,537,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"self.parse_query_and_fragment(scheme_type, scheme_end, remaining)?;"
30,url/src/parser.rs,538,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,return Ok(Url {
31,url/src/parser.rs,539,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"serialization: self.serialization,"
32,url/src/parser.rs,540,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"scheme_end,"
33,url/src/parser.rs,541,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"username_end: host_start,"
34,url/src/parser.rs,542,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"host_start,"
35,url/src/parser.rs,543,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"host_end,"
36,url/src/parser.rs,544,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"host,"
37,url/src/parser.rs,545,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"port: None,"
38,url/src/parser.rs,546,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"path_start: host_end,"
39,url/src/parser.rs,705,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
40,url/src/parser.rs,1037,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,fn parse_file_host<'i>(
41,url/src/parser.rs,1042,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"let (_, host_str, remaining) = Parser::file_host(input)?;"
42,url/src/parser.rs,1043,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let host = if host_str.is_empty() {
43,url/src/parser.rs,1044,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,has_host = false;
44,url/src/parser.rs,1045,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,HostInternal::None
45,url/src/parser.rs,1059,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"Ok((has_host, host, remaining))"
46,url/src/parser.rs,1060,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
47,url/src/parser.rs,1062,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"pub fn file_host(input: Input) -> ParseResult<(bool, String, Input)> {"
48,url/src/parser.rs,1065,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let input_str = input.chars.as_str();
49,url/src/parser.rs,1066,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let mut has_ignored_chars = false;
50,url/src/parser.rs,1067,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let mut non_ignored_chars = 0;
51,url/src/parser.rs,1068,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let mut bytes = 0;
52,url/src/parser.rs,1069,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,for c in input_str.chars() {
53,url/src/parser.rs,1070,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,match c {
54,url/src/parser.rs,1071,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"'/' | '\\' | '?' | '#' => break,"
55,url/src/parser.rs,1079,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let mut remaining = input.clone();
