rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,url/src/host.rs,122,1,0,0,2,1.0,1.0,inf,"pub fn parse_opaque(input: &str) -> Result<Self, ParseError> {"
2,url/src/host.rs,123,1,0,0,2,1.0,1.0,inf,if input.starts_with('[') {
3,url/src/host.rs,128,1,0,0,2,1.0,1.0,inf,}
4,url/src/host.rs,130,1,0,0,2,1.0,1.0,inf,let is_invalid_host_char = |c| {
5,url/src/host.rs,151,1,0,0,2,1.0,1.0,inf,if input.find(is_invalid_host_char).is_some() {
6,url/src/host.rs,154,1,0,0,2,1.0,1.0,inf,Ok(Host::Domain(
7,url/src/host.rs,158,1,0,0,2,1.0,1.0,inf,}
8,url/src/parser.rs,176,1,0,0,2,1.0,1.0,inf,"""file"" => SchemeType::File,"
9,url/src/parser.rs,177,1,0,0,2,1.0,1.0,inf,"_ => SchemeType::NotSpecial,"
10,url/src/parser.rs,201,1,0,0,2,1.0,1.0,inf,pub fn no_trim(input: &'i str) -> Self {
11,url/src/parser.rs,202,1,0,0,2,1.0,1.0,inf,Input {
12,url/src/parser.rs,205,1,0,0,2,1.0,1.0,inf,}
13,url/src/parser.rs,254,1,0,0,2,1.0,1.0,inf,Some(remaining)
14,url/src/parser.rs,308,1,0,0,2,1.0,1.0,inf,"fn split_prefix<'i>(self, input: &mut Input<'i>) -> bool {"
15,url/src/parser.rs,309,1,0,0,2,1.0,1.0,inf,for c in self.chars() {
16,url/src/parser.rs,310,1,0,0,2,1.0,1.0,inf,if input.next() != Some(c) {
17,url/src/parser.rs,311,1,0,0,2,1.0,1.0,inf,return false;
18,url/src/parser.rs,312,1,0,0,2,1.0,1.0,inf,}
19,url/src/parser.rs,315,1,0,0,2,1.0,1.0,inf,}
20,url/src/parser.rs,466,1,0,0,2,1.0,1.0,inf,"SchemeType::NotSpecial => self.parse_non_special(input, scheme_type, scheme_end),"
21,url/src/parser.rs,471,1,0,0,2,1.0,1.0,inf,fn parse_non_special(
22,url/src/parser.rs,478,1,0,0,2,1.0,1.0,inf,"if let Some(input) = input.split_prefix(""//"") {"
23,url/src/parser.rs,480,1,0,0,2,1.0,1.0,inf,}
24,url/src/parser.rs,482,1,0,0,2,1.0,1.0,inf,let path_start = to_u32(self.serialization.len())?;
25,url/src/parser.rs,483,1,0,0,2,1.0,1.0,inf,let username_end = path_start;
26,url/src/parser.rs,484,1,0,0,2,1.0,1.0,inf,let host_start = path_start;
27,url/src/parser.rs,485,1,0,0,2,1.0,1.0,inf,let host_end = path_start;
28,url/src/parser.rs,486,1,0,0,2,1.0,1.0,inf,let host = HostInternal::None;
29,url/src/parser.rs,487,1,0,0,2,1.0,1.0,inf,let port = None;
30,url/src/parser.rs,488,1,0,0,2,1.0,1.0,inf,let remaining = if let Some(input) = input.split_prefix('/') {
31,url/src/parser.rs,489,1,0,0,2,1.0,1.0,inf,let path_start = self.serialization.len();
32,url/src/parser.rs,490,1,0,0,2,1.0,1.0,inf,self.serialization.push('/');
33,url/src/parser.rs,491,1,0,0,2,1.0,1.0,inf,"self.parse_path(scheme_type, &mut false, path_start, input)"
34,url/src/parser.rs,495,1,0,0,2,1.0,1.0,inf,self.with_query_and_fragment(
35,url/src/parser.rs,496,1,0,0,2,1.0,1.0,inf,"scheme_type,"
36,url/src/parser.rs,497,1,0,0,2,1.0,1.0,inf,"scheme_end,"
37,url/src/parser.rs,498,1,0,0,2,1.0,1.0,inf,"username_end,"
38,url/src/parser.rs,499,1,0,0,2,1.0,1.0,inf,"host_start,"
39,url/src/parser.rs,500,1,0,0,2,1.0,1.0,inf,"host_end,"
40,url/src/parser.rs,501,1,0,0,2,1.0,1.0,inf,"host,"
41,url/src/parser.rs,502,1,0,0,2,1.0,1.0,inf,"port,"
42,url/src/parser.rs,503,1,0,0,2,1.0,1.0,inf,"path_start,"
43,url/src/parser.rs,504,1,0,0,2,1.0,1.0,inf,"remaining,"
44,url/src/parser.rs,506,1,0,0,2,1.0,1.0,inf,}
45,url/src/parser.rs,1033,1,0,0,2,1.0,1.0,inf,let host = Host::parse_opaque(host_str)?;
46,url/src/parser.rs,1034,1,0,0,2,1.0,1.0,inf,"return Ok((host, input));"
47,url/src/parser.rs,1196,1,0,0,2,1.0,1.0,inf,match c {
48,url/src/parser.rs,1197,1,0,0,2,1.0,1.0,inf,'/' if self.context != Context::PathSegmentSetter => {
49,url/src/parser.rs,1198,1,0,0,2,1.0,1.0,inf,self.serialization.push(c);
50,url/src/parser.rs,1199,1,0,0,2,1.0,1.0,inf,ends_with_slash = true;
51,url/src/parser.rs,1200,1,0,0,2,1.0,1.0,inf,break;
52,url/src/parser.rs,1202,1,0,0,2,1.0,1.0,inf,'\\' if self.context != Context::PathSegmentSetter
53,url/src/parser.rs,1203,1,0,0,2,1.0,1.0,inf,&& scheme_type.is_special() =>
54,url/src/parser.rs,1232,1,0,0,2,1.0,1.0,inf,self.serialization[segment_start..self.serialization.len() - 1].to_owned()
55,url/src/parser.rs,1258,1,0,0,2,1.0,1.0,inf,self.serialization.truncate(segment_start);
56,url/src/parser.rs,1259,1,0,0,2,1.0,1.0,inf,if !self.serialization.ends_with('/') {
57,url/src/parser.rs,1261,1,0,0,2,1.0,1.0,inf,}
58,url/src/parser.rs,1286,1,0,0,2,1.0,1.0,inf,}
59,url/src/quirks.rs,157,1,0,0,2,1.0,1.0,inf,"pub fn set_hostname(url: &mut Url, new_hostname: &str) -> Result<(), ()> {"
60,url/src/quirks.rs,158,1,0,0,2,1.0,1.0,inf,if url.cannot_be_a_base() {
61,url/src/quirks.rs,160,1,0,0,2,1.0,1.0,inf,}
62,url/src/quirks.rs,162,1,0,0,2,1.0,1.0,inf,let input = Input::no_trim(new_hostname);
63,url/src/quirks.rs,163,1,0,0,2,1.0,1.0,inf,let scheme_type = SchemeType::from(url.scheme());
64,url/src/quirks.rs,164,1,0,0,2,1.0,1.0,inf,if scheme_type == SchemeType::File && new_hostname.is_empty() {
65,url/src/quirks.rs,167,1,0,0,2,1.0,1.0,inf,}
66,url/src/quirks.rs,169,1,0,0,2,1.0,1.0,inf,"if let Ok((host, _remaining)) = Parser::parse_host(input, scheme_type) {"
67,url/src/quirks.rs,170,1,0,0,2,1.0,1.0,inf,if let Host::Domain(h) = &host {
68,url/src/quirks.rs,171,1,0,0,2,1.0,1.0,inf,if h.is_empty() {
69,url/src/quirks.rs,173,1,0,0,2,1.0,1.0,inf,if SchemeType::from(url.scheme()) == SchemeType::SpecialNotFile
70,url/src/quirks.rs,175,1,0,0,2,1.0,1.0,inf,||!port(&url).is_empty()
71,url/src/quirks.rs,177,1,0,0,2,1.0,1.0,inf,|| !url.username().is_empty()
72,url/src/quirks.rs,180,1,0,0,2,1.0,1.0,inf,return Err(());
73,url/src/quirks.rs,189,1,0,0,2,1.0,1.0,inf,}
74,url/src/quirks.rs,193,1,0,0,2,1.0,1.0,inf,pub fn port(url: &Url) -> &str {
75,url/src/quirks.rs,194,1,0,0,2,1.0,1.0,inf,&url[Position::BeforePort..Position::AfterPort]
76,url/src/quirks.rs,195,1,0,0,2,1.0,1.0,inf,}
77,url/src/slicing.rs,35,1,0,0,2,1.0,1.0,inf,"fn index(&self, range: Range<Position>) -> &str {"
78,url/src/slicing.rs,36,1,0,0,2,1.0,1.0,inf,&self.serialization[self.index(range.start)..self.index(range.end)]
79,url/src/slicing.rs,37,1,0,0,2,1.0,1.0,inf,}
80,url/src/slicing.rs,102,1,0,0,2,1.0,1.0,inf,"fn index(&self, position: Position) -> usize {"
81,url/src/slicing.rs,103,1,0,0,2,1.0,1.0,inf,match position {
82,url/src/slicing.rs,144,1,0,0,2,1.0,1.0,inf,if self.port.is_some() {
83,url/src/slicing.rs,148,1,0,0,2,1.0,1.0,inf,self.host_end as usize
84,url/src/slicing.rs,152,1,0,0,2,1.0,1.0,inf,"Position::AfterPort => self.path_start as usize,"
85,url/src/slicing.rs,186,1,0,0,2,1.0,1.0,inf,}
86,url/src/lib.rs,644,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,pub fn scheme(&self) -> &str {
87,url/src/lib.rs,645,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.slice(..self.scheme_end)
