rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,url/src/host.rs,123,1,0,0,5,1.0,1.0,inf,"pub(crate) fn parse_opaque_cow(input: Cow<'a, str>) -> Result<Self, ParseError> {"
2,url/src/host.rs,124,1,0,0,5,1.0,1.0,inf,if input.starts_with('[') {
3,url/src/host.rs,129,1,0,0,5,1.0,1.0,inf,}
4,url/src/host.rs,131,1,0,0,5,1.0,1.0,inf,let is_invalid_host_char = |c| {
5,url/src/host.rs,132,1,0,0,5,1.0,1.0,inf,matches!(
6,url/src/host.rs,133,1,0,0,5,1.0,1.0,inf,"c,"
7,url/src/host.rs,151,1,0,0,5,1.0,1.0,inf,};
8,url/src/host.rs,153,1,0,0,5,1.0,1.0,inf,if input.find(is_invalid_host_char).is_some() {
9,url/src/host.rs,157,1,0,0,5,1.0,1.0,inf,"match utf8_percent_encode(&input, CONTROLS).into() {"
10,url/src/host.rs,160,1,0,0,5,1.0,1.0,inf,"Cow::Borrowed(_) => input,"
11,url/src/host.rs,164,1,0,0,5,1.0,1.0,inf,}
12,url/src/lib.rs,903,1,0,0,5,1.0,1.0,inf,pub fn scheme(&self) -> &str {
13,url/src/lib.rs,904,1,0,0,5,1.0,1.0,inf,self.slice(..self.scheme_end)
14,url/src/lib.rs,905,1,0,0,5,1.0,1.0,inf,}
15,url/src/lib.rs,956,1,0,0,5,1.0,1.0,inf,pub fn has_authority(&self) -> bool {
16,url/src/lib.rs,957,1,0,0,5,1.0,1.0,inf,debug_assert!(self.byte_at(self.scheme_end) == b':');
17,url/src/lib.rs,958,1,0,0,5,1.0,1.0,inf,"self.slice(self.scheme_end..).starts_with(""://"")"
18,url/src/lib.rs,959,1,0,0,5,1.0,1.0,inf,}
19,url/src/lib.rs,1028,1,0,0,5,1.0,1.0,inf,pub fn cannot_be_a_base(&self) -> bool {
20,url/src/lib.rs,1029,1,0,0,5,1.0,1.0,inf,!self.slice(self.scheme_end + 1..).starts_with('/')
21,url/src/lib.rs,1030,1,0,0,5,1.0,1.0,inf,}
22,url/src/lib.rs,1054,1,0,0,5,1.0,1.0,inf,pub fn username(&self) -> &str {
23,url/src/lib.rs,1055,1,0,0,5,1.0,1.0,inf,"let scheme_separator_len = ""://"".len() as u32;"
24,url/src/lib.rs,1056,1,0,0,5,1.0,1.0,inf,if self.has_authority() && self.username_end > self.scheme_end + scheme_separator_len {
25,url/src/lib.rs,1059,1,0,0,5,1.0,1.0,inf,""""""
26,url/src/lib.rs,1061,1,0,0,5,1.0,1.0,inf,}
27,url/src/lib.rs,1087,1,0,0,5,1.0,1.0,inf,pub fn password(&self) -> Option<&str> {
28,url/src/lib.rs,1090,1,0,0,5,1.0,1.0,inf,if self.has_authority()
29,url/src/lib.rs,1091,1,0,0,5,1.0,1.0,inf,&& self.username_end != self.serialization.len() as u32
30,url/src/lib.rs,1092,1,0,0,5,1.0,1.0,inf,&& self.byte_at(self.username_end) == b':'
31,url/src/lib.rs,1097,1,0,0,5,1.0,1.0,inf,None
32,url/src/lib.rs,1099,1,0,0,5,1.0,1.0,inf,}
33,url/src/lib.rs,1203,1,0,0,5,1.0,1.0,inf,"HostInternal::None => None,"
34,url/src/lib.rs,1269,1,0,0,5,1.0,1.0,inf,pub fn port(&self) -> Option<u16> {
35,url/src/lib.rs,1270,1,0,0,5,1.0,1.0,inf,self.port
36,url/src/lib.rs,1271,1,0,0,5,1.0,1.0,inf,}
37,url/src/lib.rs,1391,1,0,0,5,1.0,1.0,inf,pub fn path(&self) -> &str {
38,url/src/lib.rs,1392,1,0,0,5,1.0,1.0,inf,"match (self.query_start, self.fragment_start) {"
39,url/src/lib.rs,1393,1,0,0,5,1.0,1.0,inf,"(None, None) => self.slice(self.path_start..),"
40,url/src/lib.rs,1398,1,0,0,5,1.0,1.0,inf,}
41,url/src/lib.rs,1471,1,0,0,5,1.0,1.0,inf,pub fn query(&self) -> Option<&str> {
42,url/src/lib.rs,1472,1,0,0,5,1.0,1.0,inf,"match (self.query_start, self.fragment_start) {"
43,url/src/lib.rs,1473,1,0,0,5,1.0,1.0,inf,"(None, _) => None,"
44,url/src/lib.rs,1483,1,0,0,5,1.0,1.0,inf,}
45,url/src/lib.rs,1545,1,0,0,5,1.0,1.0,inf,pub fn fragment(&self) -> Option<&str> {
46,url/src/lib.rs,1546,1,0,0,5,1.0,1.0,inf,self.fragment_start.map(|start| {
47,url/src/lib.rs,1550,1,0,0,5,1.0,1.0,inf,}
48,url/src/lib.rs,2771,1,0,0,5,1.0,1.0,inf,"fn byte_at(&self, i: u32) -> u8 {"
49,url/src/lib.rs,2772,1,0,0,5,1.0,1.0,inf,self.serialization.as_bytes()[i as usize]
50,url/src/lib.rs,2773,1,0,0,5,1.0,1.0,inf,}
51,url/src/lib.rs,2812,1,0,0,5,1.0,1.0,inf,"fn fmt(&self, formatter: &mut fmt::Formatter) -> fmt::Result {"
52,url/src/lib.rs,2813,1,0,0,5,1.0,1.0,inf,formatter
53,url/src/lib.rs,2815,1,0,0,5,1.0,1.0,inf,".field(""scheme"", &self.scheme())"
54,url/src/lib.rs,2816,1,0,0,5,1.0,1.0,inf,".field(""cannot_be_a_base"", &self.cannot_be_a_base())"
55,url/src/lib.rs,2817,1,0,0,5,1.0,1.0,inf,".field(""username"", &self.username())"
56,url/src/lib.rs,2818,1,0,0,5,1.0,1.0,inf,".field(""password"", &self.password())"
57,url/src/lib.rs,2819,1,0,0,5,1.0,1.0,inf,".field(""host"", &self.host())"
58,url/src/lib.rs,2820,1,0,0,5,1.0,1.0,inf,".field(""port"", &self.port())"
59,url/src/lib.rs,2821,1,0,0,5,1.0,1.0,inf,".field(""path"", &self.path())"
60,url/src/lib.rs,2822,1,0,0,5,1.0,1.0,inf,".field(""query"", &self.query())"
61,url/src/lib.rs,2823,1,0,0,5,1.0,1.0,inf,".field(""fragment"", &self.fragment())"
62,url/src/lib.rs,2824,1,0,0,5,1.0,1.0,inf,.finish()
63,url/src/lib.rs,2825,1,0,0,5,1.0,1.0,inf,}
