rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/de.rs,696,1,0,0,2,1.0,1.0,inf,return Err(self.error(ErrorCode::NumberOutOfRange));
2,src/de.rs,469,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.eat_char();
3,src/de.rs,470,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,false
4,src/de.rs,484,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,self.eat_char();
5,src/de.rs,485,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,let digit = (c - b'0') as i32;
6,src/de.rs,487,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,"if overflow!(exp * 10 + digit, i32::max_value()) {"
7,src/de.rs,489,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
8,src/de.rs,491,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,exp = exp * 10 + digit;
9,src/de.rs,497,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,starting_exp.saturating_sub(exp)
10,src/de.rs,692,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,if f == 0.0 {
11,src/de.rs,694,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,}
12,src/de.rs,695,1,1,0,1,0.6666666666666666,0.7071067811865475,1.0,if exponent >= 0 {
13,src/de.rs,50,1,2,0,0,0.5,0.5773502691896258,0.5,pub fn new(read: R) -> Self {
14,src/de.rs,51,1,2,0,0,0.5,0.5773502691896258,0.5,Deserializer {
15,src/de.rs,56,1,2,0,0,0.5,0.5773502691896258,0.5,}
16,src/de.rs,151,1,2,0,0,0.5,0.5773502691896258,0.5,fn peek(&mut self) -> Result<Option<u8>> {
17,src/de.rs,152,1,2,0,0,0.5,0.5773502691896258,0.5,self.read.peek()
18,src/de.rs,153,1,2,0,0,0.5,0.5773502691896258,0.5,}
19,src/de.rs,155,1,2,0,0,0.5,0.5773502691896258,0.5,fn peek_or_null(&mut self) -> Result<u8> {
20,src/de.rs,156,1,2,0,0,0.5,0.5773502691896258,0.5,Ok(try!(self.peek()).unwrap_or(b'\x00'))
21,src/de.rs,157,1,2,0,0,0.5,0.5773502691896258,0.5,}
22,src/de.rs,159,1,2,0,0,0.5,0.5773502691896258,0.5,fn eat_char(&mut self) {
23,src/de.rs,160,1,2,0,0,0.5,0.5773502691896258,0.5,self.read.discard();
24,src/de.rs,161,1,2,0,0,0.5,0.5773502691896258,0.5,}
25,src/de.rs,163,1,2,0,0,0.5,0.5773502691896258,0.5,fn next_char(&mut self) -> Result<Option<u8>> {
26,src/de.rs,164,1,2,0,0,0.5,0.5773502691896258,0.5,self.read.next()
27,src/de.rs,165,1,2,0,0,0.5,0.5773502691896258,0.5,}
28,src/de.rs,167,1,2,0,0,0.5,0.5773502691896258,0.5,fn next_char_or_null(&mut self) -> Result<u8> {
29,src/de.rs,168,1,2,0,0,0.5,0.5773502691896258,0.5,Ok(try!(self.next_char()).unwrap_or(b'\x00'))
30,src/de.rs,169,1,2,0,0,0.5,0.5773502691896258,0.5,}
31,src/de.rs,187,1,2,0,0,0.5,0.5773502691896258,0.5,fn parse_whitespace(&mut self) -> Result<Option<u8>> {
32,src/de.rs,189,1,2,0,0,0.5,0.5773502691896258,0.5,match try!(self.peek()) {
33,src/de.rs,193,1,2,0,0,0.5,0.5773502691896258,0.5,other => {
34,src/de.rs,194,1,2,0,0,0.5,0.5773502691896258,0.5,return Ok(other);
35,src/de.rs,198,1,2,0,0,0.5,0.5773502691896258,0.5,}
36,src/de.rs,251,1,2,0,0,0.5,0.5773502691896258,0.5,"fn deserialize_prim_number<V>(&mut self, visitor: V) -> Result<V::Value>"
37,src/de.rs,255,1,2,0,0,0.5,0.5773502691896258,0.5,let peek = match try!(self.parse_whitespace()) {
38,src/de.rs,256,1,2,0,0,0.5,0.5773502691896258,0.5,"Some(b) => b,"
39,src/de.rs,262,1,2,0,0,0.5,0.5773502691896258,0.5,let value = match peek {
40,src/de.rs,267,1,2,0,0,0.5,0.5773502691896258,0.5,"b'0'...b'9' => try!(self.parse_integer(true)).visit(visitor),"
41,src/de.rs,271,1,2,0,0,0.5,0.5773502691896258,0.5,match value {
42,src/de.rs,272,1,2,0,0,0.5,0.5773502691896258,0.5,"Ok(value) => Ok(value),"
43,src/de.rs,275,1,2,0,0,0.5,0.5773502691896258,0.5,}
44,src/de.rs,327,1,2,0,0,0.5,0.5773502691896258,0.5,"fn parse_integer(&mut self, positive: bool) -> Result<ParserNumber> {"
45,src/de.rs,328,1,2,0,0,0.5,0.5773502691896258,0.5,match try!(self.next_char_or_null()) {
46,src/de.rs,336,1,2,0,0,0.5,0.5773502691896258,0.5,c @ b'1'...b'9' => {
47,src/de.rs,337,1,2,0,0,0.5,0.5773502691896258,0.5,let mut res = (c - b'0') as u64;
