rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
1,src/buffer.rs,50,1,0,0,2,1.0,1.0,inf,"fn inner_new(stream: TokenStream, up: *const Entry) -> TokenBuffer {"
2,src/buffer.rs,53,1,0,0,2,1.0,1.0,inf,let mut entries = Vec::new();
3,src/buffer.rs,54,1,0,0,2,1.0,1.0,inf,let mut seqs = Vec::new();
4,src/buffer.rs,55,1,0,0,2,1.0,1.0,inf,for tt in stream {
5,src/buffer.rs,56,1,0,0,2,1.0,1.0,inf,match tt {
6,src/buffer.rs,57,1,0,0,2,1.0,1.0,inf,TokenTree::Ident(sym) => {
7,src/buffer.rs,58,1,0,0,2,1.0,1.0,inf,entries.push(Entry::Ident(sym));
8,src/buffer.rs,60,1,0,0,2,1.0,1.0,inf,TokenTree::Punct(op) => {
9,src/buffer.rs,61,1,0,0,2,1.0,1.0,inf,entries.push(Entry::Punct(op));
10,src/buffer.rs,76,1,0,0,2,1.0,1.0,inf,entries.push(Entry::End(up));
11,src/buffer.rs,82,1,0,0,2,1.0,1.0,inf,let mut entries = entries.into_boxed_slice();
12,src/buffer.rs,83,1,0,0,2,1.0,1.0,inf,"for (idx, group) in seqs {"
13,src/buffer.rs,95,1,0,0,2,1.0,1.0,inf,TokenBuffer { data: entries }
14,src/buffer.rs,96,1,0,0,2,1.0,1.0,inf,}
15,src/buffer.rs,113,1,0,0,2,1.0,1.0,inf,pub fn new2(stream: TokenStream) -> TokenBuffer {
16,src/buffer.rs,114,1,0,0,2,1.0,1.0,inf,"Self::inner_new(stream, ptr::null())"
17,src/buffer.rs,115,1,0,0,2,1.0,1.0,inf,}
18,src/buffer.rs,119,1,0,0,2,1.0,1.0,inf,pub fn begin(&self) -> Cursor {
19,src/buffer.rs,120,1,0,0,2,1.0,1.0,inf,"unsafe { Cursor::create(&self.data[0], &self.data[self.data.len() - 1]) }"
20,src/buffer.rs,121,1,0,0,2,1.0,1.0,inf,}
21,src/buffer.rs,172,1,0,0,2,1.0,1.0,inf,"unsafe fn create(mut ptr: *const Entry, scope: *const Entry) -> Self {"
22,src/buffer.rs,177,1,0,0,2,1.0,1.0,inf,while let Entry::End(exit) = *ptr {
23,src/buffer.rs,178,1,0,0,2,1.0,1.0,inf,if ptr == scope {
24,src/buffer.rs,179,1,0,0,2,1.0,1.0,inf,break;
25,src/buffer.rs,184,1,0,0,2,1.0,1.0,inf,Cursor {
26,src/buffer.rs,185,1,0,0,2,1.0,1.0,inf,"ptr,"
27,src/buffer.rs,189,1,0,0,2,1.0,1.0,inf,}
28,src/buffer.rs,192,1,0,0,2,1.0,1.0,inf,fn entry(self) -> &'a Entry {
29,src/buffer.rs,193,1,0,0,2,1.0,1.0,inf,unsafe { &*self.ptr }
30,src/buffer.rs,194,1,0,0,2,1.0,1.0,inf,}
31,src/buffer.rs,199,1,0,0,2,1.0,1.0,inf,unsafe fn bump(self) -> Cursor<'a> {
32,src/buffer.rs,200,1,0,0,2,1.0,1.0,inf,"Cursor::create(self.ptr.offset(1), self.scope)"
33,src/buffer.rs,201,1,0,0,2,1.0,1.0,inf,}
34,src/buffer.rs,208,1,0,0,2,1.0,1.0,inf,fn ignore_none(&mut self) {
35,src/buffer.rs,209,1,0,0,2,1.0,1.0,inf,"while let Entry::Group(group, buf) = self.entry() {"
36,src/buffer.rs,221,1,0,0,2,1.0,1.0,inf,}
37,src/buffer.rs,225,1,0,0,2,1.0,1.0,inf,pub fn eof(self) -> bool {
38,src/buffer.rs,227,1,0,0,2,1.0,1.0,inf,self.ptr == self.scope
39,src/buffer.rs,228,1,0,0,2,1.0,1.0,inf,}
40,src/buffer.rs,232,1,0,0,2,1.0,1.0,inf,"pub fn group(mut self, delim: Delimiter) -> Option<(Cursor<'a>, Span, Cursor<'a>)> {"
